from,to,concern,prev_decade,target_decade,onset_from,onset_to,edge_weight,migration_jaccard,from_tokens_n,to_tokens_n
television,radar,unemployment,1940,1950,1940,1950,0.6065306597126334,0.0,0,0
television,radio,unemployment,1940,1950,1940,1950,0.6065306597126334,0.0,0,0
television,insulin,childhood,1940,1950,1930,1950,0.3678794411714423,0.0,0,0
